pilot,avg_speed,best_lap,grid,points,result,time,
ham,202.469,96.228,5,15,3,5863.259,
rus,202.313,96.302,9,12,4,5864.795,
ver,204.14,95.44,2,0,19,nan,
per,202.762,96.089,4,0,18,nan,
lec,206.018,94.57,1,26,1,5853.584,
sai,203.501,95.74,3,18,2,5859.182,
dev,200.189,97.324,10,0,20,nan,
tsu,200.642,97.104,16,4,8,5873.97,
pia,200.318,97.261,18,0,14,5908.559,
nor,200.882,96.988,13,0,15,5909.919,
oco,200.63,97.11,11,6,7,5873.007,
gas,201.412,96.733,8,2,9,5875.974,
alo,200.555,97.146,19,0,12,5899.457,
str,198.3,98.251,20,0,16,5915.379,
sar,200.125,97.355,14,0,13,5907.516,
alb,201.691,96.599,6,8,6,5869.703,
bot,201.512,96.685,15,1,10,5876.648,
zho,201.641,96.623,7,10,5,5868.338,
mag,nan,nan,nan,0,nan,nan,
sch,nan,nan,nan,0,nan,nan,
ham,204.469,96.228,1,16,3,5863.259,
rus,206.313,96.302,2,18,4,5864.795,
ver,205.14,95.44,3,2,19,5853.584,
per,205.762,96.089,4,1,18,5853.584,
lec,207.018,94.57,5,26,1,5853.584,
sai,204.501,95.74,6,15,2,5859.182,
dev,201.189,97.324,7,0,20,5853.584,
tsu,201.642,97.104,8,4,8,5873.97,
pia,201.318,97.261,9,0,14,5908.559,
nor,201.882,96.988,10,0,15,5909.919,
oco,201.63,97.11,11,6,7,5873.007,
gas,202.412,96.733,12,0,9,5875.974,
alo,200.555,97.146,13,0,12,5899.457,
str,200.3,98.251,14,0,16,5915.379,
sar,200.125,97.355,15,0,13,5907.516,
alb,200.691,96.599,16,8,6,5869.703,
bot,200.512,96.685,17,0,10,5876.648,
zho,200.641,96.623,18,10,5,5868.338,
mag,199.999,nan,19,0,nan,5853.584,
sch,198.198,nan,20,0,nan,5853.584,